,number_of_commits,number_of_unique_committers,week,repoID
310,3,2,2019-01-27 00:00:00+00:00,143887688
311,0,0,2019-02-03 00:00:00+00:00,143887688
312,1,1,2019-02-10 00:00:00+00:00,143887688
313,1,1,2019-02-17 00:00:00+00:00,143887688
314,5,3,2019-02-24 00:00:00+00:00,143887688
315,2,1,2019-03-03 00:00:00+00:00,143887688
316,0,0,2019-03-10 00:00:00+00:00,143887688
317,1,1,2019-03-17 00:00:00+00:00,143887688
318,7,2,2019-03-24 00:00:00+00:00,143887688
319,9,2,2019-03-31 00:00:00+00:00,143887688
320,4,2,2019-04-07 00:00:00+00:00,143887688
321,1,1,2019-04-14 00:00:00+00:00,143887688
322,1,1,2019-04-21 00:00:00+00:00,143887688
323,0,0,2019-04-28 00:00:00+00:00,143887688
324,3,1,2019-05-05 00:00:00+00:00,143887688
325,1,1,2019-05-12 00:00:00+00:00,143887688
326,2,1,2019-05-19 00:00:00+00:00,143887688
327,8,2,2019-05-26 00:00:00+00:00,143887688
328,2,1,2019-06-02 00:00:00+00:00,143887688
329,6,1,2019-06-09 00:00:00+00:00,143887688
330,2,1,2019-06-16 00:00:00+00:00,143887688
331,4,2,2019-06-23 00:00:00+00:00,143887688
332,5,1,2019-06-30 00:00:00+00:00,143887688
333,2,1,2019-07-07 00:00:00+00:00,143887688
334,2,1,2019-07-14 00:00:00+00:00,143887688
335,1,1,2019-07-21 00:00:00+00:00,143887688
336,5,2,2019-07-28 00:00:00+00:00,143887688
337,8,3,2019-08-04 00:00:00+00:00,143887688
338,0,0,2019-08-11 00:00:00+00:00,143887688
339,1,1,2019-08-18 00:00:00+00:00,143887688
340,2,1,2019-08-25 00:00:00+00:00,143887688
341,4,2,2019-09-01 00:00:00+00:00,143887688
342,0,0,2019-09-08 00:00:00+00:00,143887688
343,6,1,2019-09-15 00:00:00+00:00,143887688
344,2,1,2019-09-22 00:00:00+00:00,143887688
345,3,2,2019-09-29 00:00:00+00:00,143887688
346,6,3,2019-10-06 00:00:00+00:00,143887688
347,0,0,2019-10-13 00:00:00+00:00,143887688
348,3,3,2019-10-20 00:00:00+00:00,143887688
349,4,2,2019-10-27 00:00:00+00:00,143887688
350,3,1,2019-11-03 00:00:00+00:00,143887688
351,3,2,2019-11-10 00:00:00+00:00,143887688
352,4,1,2019-11-17 00:00:00+00:00,143887688
353,4,1,2019-11-24 00:00:00+00:00,143887688
354,2,1,2019-12-01 00:00:00+00:00,143887688
355,14,2,2019-12-08 00:00:00+00:00,143887688
356,2,1,2019-12-15 00:00:00+00:00,143887688
357,0,0,2019-12-22 00:00:00+00:00,143887688
358,0,0,2019-12-29 00:00:00+00:00,143887688
359,1,1,2020-01-05 00:00:00+00:00,143887688
360,1,1,2020-01-12 00:00:00+00:00,143887688
361,1,1,2020-01-19 00:00:00+00:00,143887688
362,0,0,2020-01-26 00:00:00+00:00,143887688
363,1,1,2020-02-02 00:00:00+00:00,143887688
364,3,1,2020-02-09 00:00:00+00:00,143887688
365,4,1,2020-02-16 00:00:00+00:00,143887688
366,1,1,2020-02-23 00:00:00+00:00,143887688
367,1,1,2020-03-01 00:00:00+00:00,143887688
